COUNTRY_NAME,STATE_NAME,LATITUDE,LONGITUDE,TRANS_RATE,DAY1,DAY2,DAY3,DAY4,DAY5,DAY6,DAY7
United States of America,Idaho,44.06820200000000,-114.74204100000000,3,2938,3122,3372,3712,4173,4800,5651
United States of America,Idaho,44.06820200000000,-114.74204100000000,4,2994,3285,3725,4394,5407,6944,9272
United States of America,Illinois,40.63312500000000,-89.39852800000000,0.5,120170,121460,122788,124156,125565,127016,128509
United States of America,Illinois,40.63312500000000,-89.39852800000000,1,121492,124294,127341,130656,134262,138184,142450
United States of America,Illinois,40.63312500000000,-89.39852800000000,2,124362,130971,138993,148725,160529,174842,192186
United States of America,Illinois,40.63312500000000,-89.39852800000000,3,127559,139262,155101,176519,205449,244471,296997
United States of America,Illinois,40.63312500000000,-89.39852800000000,4,131122,149554,177355,219206,282025,375907,515298
United States of America,Indiana,40.55121700000000,-85.60236400000000,0.5,34545,34889,35244,35609,35985,36373,36772
United States of America,Indiana,40.55121700000000,-85.60236400000000,1,34898,35646,36460,37345,38310,39359,40502
United States of America,Indiana,40.55121700000000,-85.60236400000000,2,35664,37430,39575,42183,45351,49199,53871
United States of America,Indiana,40.55121700000000,-85.60236400000000,3,36518,39648,43893,49649,57449,68011,82298
United States of America,Indiana,40.55121700000000,-85.60236400000000,4,37470,42405,49874,61166,78213,103892,142443
United States of America,Iowa,41.87800300000000,-93.09770200000000,0.5,19484,19732,19987,20249,20520,20799,21086
United States of America,Iowa,41.87800300000000,-93.09770200000000,1,19738,20276,20861,21498,22191,22945,23766
United States of America,Iowa,41.87800300000000,-93.09770200000000,2,20289,21558,23101,24974,27248,30008,33357
United States of America,Iowa,41.87800300000000,-93.09770200000000,3,20903,23153,26201,30331,35920,43475,53672
United States of America,Iowa,41.87800300000000,-93.09770200000000,4,21587,25133,30492,38581,50761,69040,96332
United States of America,Kansas,39.01190200000000,-98.48424600000000,0.5,9768,9848,9931,10016,10104,10194,10288
United States of America,Kansas,39.01190200000000,-98.48424600000000,1,9850,10025,10215,10422,10647,10892,11159
United States of America,Kansas,39.01190200000000,-98.48424600000000,2,10029,10441,10943,11552,12293,13194,14289
United States of America,Kansas,39.01190200000000,-98.48424600000000,3,10228,10959,11952,13299,15127,17607,20970
United States of America,Kansas,39.01190200000000,-98.48424600000000,4,10451,11604,13352,15999,20007,26066,35208
United States of America,Kentucky,37.83933300000000,-84.27001800000000,0.5,9804,9906,10012,10121,10233,10348,10467
United States of America,Kentucky,37.83933300000000,-84.27001800000000,1,9909,10132,10374,10638,10926,11240,11581
United States of America,Kentucky,37.83933300000000,-84.27001800000000,2,10137,10664,11304,12083,13031,14183,15584
United States of America,Kentucky,37.83933300000000,-84.27001800000000,3,10392,11326,12594,14317,16657,19832,24140
United States of America,Kentucky,37.83933300000000,-84.27001800000000,4,10676,12149,14385,17773,22906,30675,42414
United States of America,Louisiana,31.24482300000000,-92.14502400000000,0.5,39849,40129,40418,40715,41021,41337,41661
United States of America,Louisiana,31.24482300000000,-92.14502400000000,1,40136,40745,41407,42128,42912,43765,44693
United States of America,Louisiana,31.24482300000000,-92.14502400000000,2,40760,42196,43941,46058,48629,51748,55532
United States of America,Louisiana,31.24482300000000,-92.14502400000000,3,41455,43999,47446,52113,58429,66967,78496
United States of America,Louisiana,31.24482300000000,-92.14502400000000,4,42229,46239,52296,61436,75204,95890,126846
United States of America,Maine,45.25378300000000,-69.44546900000000,0.5,2314,2347,2381,2416,2452,2489,2528
United States of America,Maine,45.25378300000000,-69.44546900000000,1,2348,2420,2498,2583,2675,2776,2886
United States of America,Maine,45.25378300000000,-69.44546900000000,2,2421,2591,2797,3048,3353,3724,4175
United States of America,Maine,45.25378300000000,-69.44546900000000,3,2503,2804,3212,3767,4520,5543,6930
United States of America,Maine,45.25378300000000,-69.44546900000000,4,2595,3069,3789,4880,6533,9034,12814
United States of America,Maryland,39.04575500000000,-76.64127100000000,0.5,52700,53405,54131,54879,55649,56443,57259
United States of America,Maryland,39.04575500000000,-76.64127100000000,1,53423,54954,56620,58433,60405,62549,64882
United States of America,Maryland,39.04575500000000,-76.64127100000000,2,54992,58605,62991,68312,74767,82591,92072
United States of America,Maryland,39.04575500000000,-76.64127100000000,3,56740,63139,71799,83508,99321,120639,149313
United States of America,Maryland,39.04575500000000,-76.64127100000000,4,58687,68766,83965,106838,141143,192338,268171
United States of America,Massachusetts,42.40721100000000,-71.38243700000000,0.5,96815,97344,97889,98450,99028,99622,100235
United States of America,Massachusetts,42.40721100000000,-71.38243700000000,1,97358,98507,99756,101114,102591,104197,105943
United States of America,Massachusetts,42.40721100000000,-71.38243700000000,2,98535,101243,104528,108511,113338,119187,126273
United States of America,Massachusetts,42.40721100000000,-71.38243700000000,3,99845,104639,111119,119874,131692,147627,169083
United States of America,Massachusetts,42.40721100000000,-71.38243700000000,4,101305,108850,120216,137311,162970,201353,258491
United States of America,Michigan,44.31484400000000,-85.60236400000000,0.5,57252,57544,57845,58154,58473,58802,59140
United States of America,Michigan,44.31484400000000,-85.60236400000000,1,57551,58186,58876,59627,60445,61335,62304
United States of America,Michigan,44.31484400000000,-85.60236400000000,2,58201,59698,61518,63730,66417,69681,73647
United States of America,Michigan,44.31484400000000,-85.60236400000000,3,58925,61579,65180,70064,76685,85659,97813
United States of America,Michigan,44.31484400000000,-85.60236400000000,4,59732,63918,70254,79842,94336,116221,149202
United States of America,Minnesota,46.72955300000000,-94.68590000000000,0.5,24629,25081,25547,26026,26521,27030,27554
United States of America,Minnesota,46.72955300000000,-94.68590000000000,1,25092,26075,27144,28308,29575,30953,32454
United States of America,Minnesota,46.72955300000000,-94.68590000000000,2,26099,28418,31237,34662,38822,43873,50005
United States of America,Minnesota,46.72955300000000,-94.68590000000000,3,27220,31332,36908,44465,54697,68536,87223
United States of America,Minnesota,46.72955300000000,-94.68590000000000,4,28471,34953,44759,59569,81885,115395,165450
United States of America,Mississippi,32.35466800000000,-89.39852800000000,0.5,15442,15661,15887,16120,16360,16607,16861
United States of America,Mississippi,32.35466800000000,-89.39852800000000,1,15667,16143,16662,17227,17841,18510,19238
United States of America,Mississippi,32.35466800000000,-89.39852800000000,2,16155,17281,18648,20309,22327,24776,27750
United States of America,Mississippi,32.35466800000000,-89.39852800000000,3,16699,18694,21398,25063,30025,36737,45801
United States of America,Mississippi,32.35466800000000,-89.39852800000000,4,17306,20451,25206,32388,43212,59471,83780
United States of America,Missouri,37.96425300000000,-91.83183300000000,0.5,13414,13533,13656,13782,13913,14047,14185
United States of America,Missouri,37.96425300000000,-91.83183300000000,1,13536,13795,14077,14384,14719,15083,15479
United States of America,Missouri,37.96425300000000,-91.83183300000000,2,13801,14413,15158,16063,17165,18504,20133
United States of America,Missouri,37.96425300000000,-91.83183300000000,3,14097,15183,16658,18661,21381,25073,30084
United States of America,Missouri,37.96425300000000,-91.83183300000000,4,14427,16140,18739,22678,28648,37687,51354
United States of America,Montana,46.87968200000000,-110.36256600000000,0.5,507,509,511,513,515,518,520
United States of America,Montana,46.87968200000000,-110.36256600000000,1,509,513,518,524,529,535,542
United States of America,Montana,46.87968200000000,-110.36256600000000,2,514,524,537,552,571,594,622
United States of America,Montana,46.87968200000000,-110.36256600000000,3,519,537,562,597,643,707,793
United States of America,Montana,46.87968200000000,-110.36256600000000,4,524,554,598,665,768,923,1160
United States of America,Nebraska,41.49253700000000,-99.90181300000000,0.5,14089,14278,14472,14673,14880,15092,15311
United States of America,Nebraska,41.49253700000000,-99.90181300000000,1,14282,14693,15140,15626,16155,16731,17357
United States of America,Nebraska,41.49253700000000,-99.90181300000000,2,14703,15672,16849,18278,20012,22116,24666
United States of America,Nebraska,41.49253700000000,-99.90181300000000,3,15172,16889,19215,22362,26617,32362,40102
United States of America,Nebraska,41.49253700000000,-99.90181300000000,4,15694,18400,22485,28641,37894,51742,72336
United States of America,Nevada,38.80261000000000,-116.41938900000000,0.5,8599,8683,8770,8860,8952,9047,9145
United States of America,Nevada,38.80261000000000,-116.41938900000000,1,8685,8869,9068,9286,9522,9780,10060
United States of America,Nevada,38.80261000000000,-116.41938900000000,2,8873,9306,9833,10473,11252,12199,13350
United States of America,Nevada,38.80261000000000,-116.41938900000000,3,9083,9851,10894,12310,14232,16839,20375
United States of America,Nevada,38.80261000000000,-116.41938900000000,4,9316,10528,12365,15148,19362,25735,35354
United States of America,New Hampshire,43.19385200000000,-71.57239500000000,0.5,4539,4588,4638,4690,4743,4798,4854
United States of America,New Hampshire,43.19385200000000,-71.57239500000000,1,4589,4695,4810,4935,5071,5220,5382
United States of America,New Hampshire,43.19385200000000,-71.57239500000000,2,4697,4947,5251,5620,6068,6614,7276
United States of America,New Hampshire,43.19385200000000,-71.57239500000000,3,4818,5261,5862,6677,7784,9284,11317
United States of America,New Hampshire,43.19385200000000,-71.57239500000000,4,4953,5651,6709,8311,10735,14396,19911
United States of America,New Jersey,40.05832400000000,-74.40566100000000,0.5,160237,160885,161551,162238,162944,163671,164419
United States of America,New Jersey,40.05832400000000,-74.40566100000000,1,160901,162307,163834,165495,167299,169260,171391
United States of America,New Jersey,40.05832400000000,-74.40566100000000,2,162341,165653,169665,174525,180412,187539,196165
United States of America,New Jersey,40.05832400000000,-74.40566100000000,3,163944,169800,177707,188376,202761,222136,248195
United States of America,New Jersey,40.05832400000000,-74.40566100000000,4,165728,174940,188794,209598,240778,287362,356641
United States of America,New Mexico,34.97273000000000,-105.03236300000000,0.5,7710,7798,7889,7983,8080,8180,8282
United States of America,New Mexico,34.97273000000000,-105.03236300000000,1,7800,7993,8202,8430,8678,8948,9241
United States of America,New Mexico,34.97273000000000,-105.03236300000000,2,7997,8451,9003,9674,10489,11480,12684
United States of America,New Mexico,34.97273000000000,-105.03236300000000,3,8217,9022,10114,11596,13606,16330,20019
United States of America,New Mexico,34.97273000000000,-105.03236300000000,4,8462,9731,11654,14564,18964,25602,35591
United States of America,New York,43.29942800000000,-74.21793300000000,0.5,370671,371712,372783,373886,375021,376189,377391
United States of America,New York,43.29942800000000,-74.21793300000000,1,371738,373997,376451,379119,382018,385169,388593
United States of America,New York,43.29942800000000,-74.21793300000000,2,374052,379373,385820,393629,403086,414538,428402
United States of America,New York,43.29942800000000,-74.21793300000000,3,376627,386037,398741,415884,439007,470170,512124
United States of America,New York,43.29942800000000,-74.21793300000000,4,379494,394295,416556,450002,500178,575282,687317
United States of America,North Carolina,35.75957300000000,-79.01930000000000,0.5,28277,28774,29287,29815,30359,30919,31497
United States of America,North Carolina,35.75957300000000,-79.01930000000000,1,28787,29868,31045,32327,33722,35241,36895
United States of America,North Carolina,35.75957300000000,-79.01930000000000,2,29894,32448,35554,39330,43920,49499,56278
United States of America,North Carolina,35.75957300000000,-79.01930000000000,3,31129,35659,41807,50152,61470,76811,97584
United States of America,North Carolina,35.75957300000000,-79.01930000000000,4,32507,39651,50477,66865,91640,129014,185220
United States of America,North Dakota,47.55149300000000,-101.00201200000000,0.5,2589,2625,2662,2701,2740,2781,2822
United States of America,North Dakota,47.55149300000000,-101.00201200000000,1,2626,2704,2790,2883,2984,3094,3214
United States of America,North Dakota,47.55149300000000,-101.00201200000000,2,2706,2891,3116,3390,3723,4127,4618
United States of America,North Dakota,47.55149300000000,-101.00201200000000,3,2796,3124,3570,4174,4994,6105,7608
United States of America,North Dakota,47.55149300000000,-101.00201200000000,4,2896,3413,4198,5384,7178,9883,13950
United States of America,Ohio,40.41728700000000,-82.90712300000000,0.5,35403,35784,36176,36581,36997,37427,37869
United States of America,Ohio,40.41728700000000,-82.90712300000000,1,35793,36621,37523,38505,39573,40737,42004
United States of America,Ohio,40.41728700000000,-82.90712300000000,2,36642,38598,40977,43869,47385,51660,56856
United States of America,Ohio,40.41728700000000,-82.90712300000000,3,37588,41057,45767,52160,60835,72602,88549
United States of America,Ohio,40.41728700000000,-82.90712300000000,4,38642,44115,52409,64973,83984,112711,156025
United States of America,Oklahoma,35.00775200000000,-97.09287700000000,0.5,6475,6535,6596,6658,6723,6790,6858
United States of America,Oklahoma,35.00775200000000,-97.09287700000000,1,6536,6665,6805,6957,7123,7304,7501
United States of America,Oklahoma,35.00775200000000,-97.09287700000000,2,6668,6972,7341,7791,8338,9004,9813
United States of America,Oklahoma,35.00775200000000,-97.09287700000000,3,6815,7354,8086,9081,10433,12269,14761
United States of America,Oklahoma,35.00775200000000,-97.09287700000000,4,6979,7829,9120,11078,14047,18546,25355
United States of America,Oregon,43.80413300000000,-120.55420100000000,0.5,4213,4242,4272,4302,4334,4367,4400
United States of America,Oregon,43.80413300000000,-120.55420100000000,1,4243,4306,4374,4448,4530,4618,4714
United States of America,Oregon,43.80413300000000,-120.55420100000000,2,4307,4456,4636,4856,5124,5449,5845
United States of America,Oregon,43.80413300000000,-120.55420100000000,3,4379,4642,5000,5487,6149,7048,8269
United States of America,Oregon,43.80413300000000,-120.55420100000000,4,4459,4875,5506,6464,7919,10125,13471
United States of America,Pennsylvania,41.20332200000000,-77.19452500000000,0.5,76203,76724,77261,77814,78384,78970,79575
United States of America,Pennsylvania,41.20332200000000,-77.19452500000000,1,76737,77870,79102,80443,81904,83493,85222
United States of America,Pennsylvania,41.20332200000000,-77.19452500000000,2,77897,80571,83820,87767,92563,98388,105463
United States of America,Pennsylvania,41.20332200000000,-77.19452500000000,3,79190,83929,90356,99070,110880,126875,148521
United States of America,Pennsylvania,41.20332200000000,-77.19452500000000,4,80632,88103,99410,116508,142331,181264,239804
United States of America,Rhode Island,41.58009500000000,-71.47742900000000,0.5,14931,15047,15167,15289,15416,15546,15680
United States of America,Rhode Island,41.58009500000000,-71.47742900000000,1,15050,15302,15575,15872,16195,16546,16928
United States of America,Rhode Island,41.58009500000000,-71.47742900000000,2,15308,15900,16619,17490,18545,19822,21369
